CustomerKey;Prefix;FirstName;LastName;Fecha_Nacimiento;MaritalStatus;Gender;EmailAddress;AnnualIncome;Total_children;EducationLevel;Occupation;HomeOwner
11000;MR.;JON;YANG;8/4/1966;M;M;jon24@adventure-works.com;$90,000 ;2;Bachelors;Professional;Y
11001;MR.;EUGENE;HUANG;14/5/1965;S;M;eugene10@adventure-works.com;$60,000 ;3;Bachelors;Professional;N
11002;MR.;RUBEN;TORRES;12/8/1965;M;M;ruben35@adventure-works.com;$60,000 ;3;Bachelors;Professional;Y
11003;MS.;CHRISTY;ZHU;15/2/1968;S;F;christy12@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11004;MRS.;ELIZABETH;JOHNSON;8/8/1968;S;F;elizabeth5@adventure-works.com;$80,000 ;5;Bachelors;Professional;Y
11005;MR.;JULIO;RUIZ;5/8/1965;S;M;julio1@adventure-works.com;$70,000 ;0;Bachelors;Professional;Y
11006;MR.;MARCO;MEHTA;9/5/1964;M;M;marco14@adventure-works.com;$60,000 ;3;Bachelors;Professional;Y
11007;MRS.;ROBIN;VERHOFF;7/7/1964;S;F;rob4@adventure-works.com;$60,000 ;4;Bachelors;Professional;Y
11008;MR.;SHANNON;CARLSON;1/4/1964;S;M;shannon38@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11009;MS.;JACQUELYN;SUAREZ;6/2/1964;S;F;jacquelyn20@adventure-works.com;$70,000 ;0;Bachelors;Professional;N
11010;MR.;CURTIS;LU;4/11/1963;M;M;curtis9@adventure-works.com;$60,000 ;4;Bachelors;Professional;Y
11011;MRS.;LAUREN;WALKER;18/1/1968;M;F;lauren41@adventure-works.com;$100,000 ;2;Bachelors;Management;Y
11012;MR.;IAN;JENKINS;6/8/1968;M;M;ian47@adventure-works.com;$100,000 ;2;Bachelors;Management;Y
11013;MRS.;SYDNEY;BENNETT;9/5/1968;S;F;sydney23@adventure-works.com;$100,000 ;3;Bachelors;Management;N
11014;MS.;CHLOE;YOUNG;27/2/1979;S;F;chloe23@adventure-works.com;$30,000 ;0;Partial College;Skilled Manual;N
11015;MR.;WYATT;HILL;28/4/1979;M;M;wyatt32@adventure-works.com;$30,000 ;0;Partial College;Skilled Manual;Y
11016;MRS.;SHANNON;WANG;26/6/1944;S;F;shannon1@adventure-works.com;$20,000 ;4;High School;Skilled Manual;Y
11017;MR.;CLARENCE;RAI;9/10/1944;S;M;clarence32@adventure-works.com;$30,000 ;2;Partial College;Clerical;Y
11018;MR.;LUKE;LAL;7/3/1978;S;M;luke18@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11019;MR.;JORDAN;KING;20/9/1978;S;M;jordan73@adventure-works.com;$40,000 ;0;High School;Skilled Manual;N
11020;MS.;DESTINY;WILSON;3/9/1978;S;F;destiny7@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;N
11021;MR.;ETHAN;ZHANG;12/10/1978;M;M;ethan20@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;Y
11022;MR.;SETH;EDWARDS;11/10/1978;M;M;seth46@adventure-works.com;$40,000 ;0;Partial College;Skilled Manual;Y
11023;MR.;RUSSELL;XIE;17/9/1978;M;M;russell7@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;Y
11024;;ALEJANDRO;BECK;23/12/1945;M;NA;alejandro45@adventure-works.com;$10,000 ;2;Partial High School;Clerical;Y
11025;MR.;HAROLD;SAI;3/4/1946;S;M;harold3@adventure-works.com;$30,000 ;2;Partial College;Clerical;N
11026;MR.;JESSIE;ZHAO;7/12/1946;M;M;jessie16@adventure-works.com;$30,000 ;2;Partial College;Clerical;Y
11027;MRS.;JILL;JIMENEZ;11/4/1946;M;F;jill13@adventure-works.com;$30,000 ;2;Partial College;Clerical;Y
11028;MR.;JIMMY;MORENO;21/12/1946;M;M;jimmy9@adventure-works.com;$30,000 ;2;Partial College;Clerical;Y
11029;MRS.;BETHANY;YUAN;22/2/1947;M;F;bethany10@adventure-works.com;$10,000 ;2;Partial High School;Clerical;Y
11030;MRS.;THERESA;RAMOS;22/8/1947;M;F;theresa13@adventure-works.com;$20,000 ;4;High School;Skilled Manual;Y
11031;MRS.;DENISE;STONE;11/6/1947;M;F;denise10@adventure-works.com;$20,000 ;4;High School;Skilled Manual;Y
11032;MR.;JAIME;NATH;23/9/1947;M;M;jaime41@adventure-works.com;$20,000 ;4;High School;Skilled Manual;Y
11033;MRS.;EBONY;GONZALEZ;19/6/1947;M;F;ebony19@adventure-works.com;$20,000 ;4;High School;Skilled Manual;Y
11034;;WENDY;DOMINGUEZ;24/2/1948;M;NA;wendy12@adventure-works.com;$10,000 ;2;Partial High School;Clerical;Y
11035;MS.;JENNIFER;RUSSELL;18/12/1978;M;F;jennifer93@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;Y
11036;MS.;CHLOE;GARCIA;27/11/1977;S;F;chloe27@adventure-works.com;$40,000 ;0;Partial High School;Clerical;N
11037;MRS.;DIANA;HERNANDEZ;23/3/1948;M;F;diana2@adventure-works.com;$10,000 ;2;Partial High School;Clerical;Y
11038;MR.;MARC;MARTIN;17/12/1948;M;M;marc3@adventure-works.com;$30,000 ;3;Partial College;Clerical;Y
11039;MR.;JESSE;MURPHY;1/8/1977;M;M;jesse15@adventure-works.com;$30,000 ;0;Partial College;Skilled Manual;Y
11040;MS.;AMANDA;CARTER;16/10/1977;M;F;amanda53@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;Y
11041;MS.;MEGAN;SANCHEZ;13/6/1977;M;F;megan28@adventure-works.com;$70,000 ;0;Partial College;Skilled Manual;Y
11042;MR.;NATHAN;SIMMONS;24/2/1976;M;M;nathan11@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;Y
11043;MR.;ADAM;FLORES;24/5/1949;M;M;adam10@adventure-works.com;$20,000 ;2;Partial High School;Clerical;Y
11044;MR.;LEONARD;NARA;19/5/1950;S;M;leonard18@adventure-works.com;$30,000 ;3;High School;Skilled Manual;N
11045;MRS.;CHRISTINE;YUAN;22/3/1950;M;F;christine4@adventure-works.com;$30,000 ;3;High School;Skilled Manual;Y
11046;MRS.;JACLYN;LU;27/2/1950;M;F;jaclyn12@adventure-works.com;$30,000 ;3;High School;Skilled Manual;N
11047;MR.;JEREMY;POWELL;22/11/1950;M;M;jeremy26@adventure-works.com;$30,000 ;3;High School;Skilled Manual;Y
11048;MS.;CAROL;RAI;18/7/1980;S;F;carol8@adventure-works.com;$40,000 ;0;Partial High School;Clerical;Y
11049;MR.;ALAN;ZHENG;7/9/1951;M;M;alan23@adventure-works.com;$30,000 ;3;High School;Skilled Manual;Y
11050;MR.;DANIEL;JOHNSON;4/8/1951;S;M;daniel18@adventure-works.com;$30,000 ;3;High School;Skilled Manual;N
11051;MRS.;HEIDI;LOPEZ;7/8/1951;S;F;heidi19@adventure-works.com;$40,000 ;2;Partial College;Clerical;N
11052;MS.;ANA;PRICE;20/8/1980;M;F;ana0@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;N
11053;MRS.;DEANNA;MUNOZ;10/3/1952;M;F;deanna33@adventure-works.com;$40,000 ;2;Partial College;Skilled Manual;Y
11054;MR.;GILBERT;RAJE;5/3/1952;M;M;gilbert35@adventure-works.com;$40,000 ;2;Partial College;Skilled Manual;Y
11055;MRS.;MICHELE;NATH;3/4/1953;M;F;michele19@adventure-works.com;$40,000 ;3;Partial College;Skilled Manual;Y
11056;MR.;CARL;ANDERSEN;12/10/1953;M;M;carl12@adventure-works.com;$70,000 ;2;Graduate Degree;Management;Y
11057;MR.;MARC;DIAZ;27/4/1954;M;M;marc6@adventure-works.com;$80,000 ;2;Partial College;Skilled Manual;Y
11058;MRS.;ASHLEE;ANDERSEN;1/4/1954;S;F;ashlee19@adventure-works.com;$80,000 ;2;Partial College;Skilled Manual;Y
11059;MR.;JON;ZHOU;17/3/1954;M;M;jon28@adventure-works.com;$80,000 ;2;Partial College;Skilled Manual;Y
11060;MR.;TODD;GAO;27/2/1954;M;M;todd14@adventure-works.com;$80,000 ;2;Partial College;Skilled Manual;Y
11061;MR.;NOAH;POWELL;2/9/1975;M;M;noah5@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11062;MS.;ANGELA;MURPHY;7/4/1975;S;F;angela41@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11063;MR.;CHASE;REED;7/12/1975;M;M;chase21@adventure-works.com;$40,000 ;0;High School;Skilled Manual;Y
11064;MS.;JESSICA;HENDERSON;9/10/1973;M;F;jessica29@adventure-works.com;$60,000 ;0;Partial College;Skilled Manual;N
11065;MS.;GRACE;BUTLER;27/11/1973;M;F;grace62@adventure-works.com;$70,000 ;0;Partial College;Professional;Y
11066;MR.;CALEB;CARTER;25/9/1976;S;M;caleb40@adventure-works.com;$60,000 ;0;Partial College;Professional;Y
11067;MRS.;TIFFANY;LIANG;23/9/1955;S;F;tiffany17@adventure-works.com;$80,000 ;2;High School;Skilled Manual;Y
11068;MRS.;CAROLYN;NAVARRO;21/9/1955;S;F;carolyn30@adventure-works.com;$80,000 ;2;High School;Skilled Manual;N
